track_title,url
I Bet You Think About Me,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/I-Bet-You-Think-About-Me/
I Knew You Were Trouble,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/I-Knew-You-Were-Trouble/
Message In A Bottle,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Message-In-A-Bottle/
Nothing New,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Nothing-New/
Red,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Red/
Ronan,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Ronan/
Run,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Run/
Sad Beautiful Tragic,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Sad-Beautiful-Tragic/
Starlight,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Starlight/
State of Grace,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/State-of-Grace/
Stay Stay Stay,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Stay-Stay-Stay/
The Last Time,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/The-Last-Time/
The Lucky One,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/The-Lucky-One/
The Moment I Knew,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/The-Moment-I-Knew/
The Very First Night,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/The-Very-First-Night/
Treacherous,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Treacherous/
Twenty Two,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/Twenty-Two/
We Are Never Ever Getting Back Together,/TS/red%20(taylor%E2%80%99s%20version)/2012/10/22/We-Are-Never-Ever-Getting-Back-Together/
Highway Don't Care,/TS/single/2013/03/25/Highway-Don't-Care/
All You Had to Do Was Stay,/TS/1989%20(deluxe)/2014/10/27/All-You-Had-to-Do-Was-Stay/
Bad Blood,/TS/1989%20(deluxe)/2014/10/27/Bad-Blood/
Blank Space,/TS/1989%20(deluxe)/2014/10/27/Blank-Space/
Clean,/TS/1989%20(deluxe)/2014/10/27/Clean/
How You Get the Girl,/TS/1989%20(deluxe)/2014/10/27/How-You-Get-the-Girl/
I Know Places,/TS/1989%20(deluxe)/2014/10/27/I-Know-Places/
I Wish You Would,/TS/1989%20(deluxe)/2014/10/27/I-Wish-You-Would/
New Romantics,/TS/1989%20(deluxe)/2014/10/27/New-Romantics/
Out of the Woods,/TS/1989%20(deluxe)/2014/10/27/Out-of-the-Woods/
Shake It Off,/TS/1989%20(deluxe)/2014/10/27/Shake-It-Off/
Style,/TS/1989%20(deluxe)/2014/10/27/Style/
This Love,/TS/1989%20(deluxe)/2014/10/27/This-Love/
Welcome to New York,/TS/1989%20(deluxe)/2014/10/27/Welcome-to-New-York/
Wildest Dreams,/TS/1989%20(deluxe)/2014/10/27/Wildest-Dreams/
Wonderland,/TS/1989%20(deluxe)/2014/10/27/Wonderland/
You Are in Love,/TS/1989%20(deluxe)/2014/10/27/You-Are-in-Love/
I Don't Wanna Live Forever,/TS/single/2016/12/09/I-Don't-Wanna-Live-Forever/
Call It What You Want,/TS/reputation/2017/11/10/Call-It-What-You-Want/
Dancing with Our Hands Tied,/TS/reputation/2017/11/10/Dancing-with-Our-Hands-Tied/
Delicate,/TS/reputation/2017/11/10/Delicate/
Don’t Blame Me,/TS/reputation/2017/11/10/Don-t-Blame-Me/
Dress,/TS/reputation/2017/11/10/Dress/
End Game,/TS/reputation/2017/11/10/End-Game/
Getaway Car,/TS/reputation/2017/11/10/Getaway-Car/
Gorgeous,/TS/reputation/2017/11/10/Gorgeous/
I Did Something Bad,/TS/reputation/2017/11/10/I-Did-Something-Bad/
King of My Heart,/TS/reputation/2017/11/10/King-of-My-Heart/
Look What You Made Me Do,/TS/reputation/2017/11/10/Look-What-You-Made-Me-Do/
New Year’s Day,/TS/reputation/2017/11/10/New-Year-s-Day/
Ready for It,/TS/reputation/2017/11/10/Ready-for-It/
So It Goes...,/TS/reputation/2017/11/10/So-It-Goes/
This Is Why We Can’t Have Nice Things,/TS/reputation/2017/11/10/This-Is-Why-We-Can-t-Have-Nice-Things/
Afterglow,/TS/lover/2019/08/23/Afterglow/
Cornelia Street,/TS/lover/2019/08/23/Cornelia-Street/
Cruel Summer,/TS/lover/2019/08/23/Cruel-Summer/
Daylight,/TS/lover/2019/08/23/Daylight/
Death by a Thousand Cuts,/TS/lover/2019/08/23/Death-by-a-Thousand-Cuts/
False God,/TS/lover/2019/08/23/False-God/
I Forgot That You Existed,/TS/lover/2019/08/23/I-Forgot-That-You-Existed/
I Think He Knows,/TS/lover/2019/08/23/I-Think-He-Knows/
It’s Nice to Have a Friend,/TS/lover/2019/08/23/It-s-Nice-to-Have-a-Friend/
London Boy,/TS/lover/2019/08/23/London-Boy/
Lover,/TS/lover/2019/08/23/Lover/
ME,/TS/lover/2019/08/23/ME/
Miss Americana & The Heartbreak Prince,/TS/lover/2019/08/23/Miss-Americana-&-The-Heartbreak-Prince/
Paper Rings,/TS/lover/2019/08/23/Paper-Rings/
Soon You’ll Get Better,/TS/lover/2019/08/23/Soon-You-ll-Get-Better/
The Archer,/TS/lover/2019/08/23/The-Archer/
The Man,/TS/lover/2019/08/23/The-Man/
You Need To Calm Down,/TS/lover/2019/08/23/You-Need-To-Calm-Down/
Christmas Tree Farm,/TS/single/2019/12/06/Christmas-Tree-Farm/
august,/TS/folklore%20(deluxe%20version)/2020/07/24/august/
cardigan,/TS/folklore%20(deluxe%20version)/2020/07/24/cardigan/
hoax,/TS/folklore%20(deluxe%20version)/2020/07/24/hoax/
my tears ricochet,/TS/folklore%20(deluxe%20version)/2020/07/24/my-tears-ricochet/
seven,/TS/folklore%20(deluxe%20version)/2020/07/24/seven/
the 1,/TS/folklore%20(deluxe%20version)/2020/07/24/the-1/
this is me trying,/TS/folklore%20(deluxe%20version)/2020/07/24/this-is-me-trying/
betty,/TS/folklore%20(deluxe%20version)/2020/07/24/betty/
epiphany,/TS/folklore%20(deluxe%20version)/2020/07/24/epiphany/
exile,/TS/folklore%20(deluxe%20version)/2020/07/24/exile/
illicit affairs,/TS/folklore%20(deluxe%20version)/2020/07/24/illicit-affairs/
invisible string,/TS/folklore%20(deluxe%20version)/2020/07/24/invisible-string/
mad woman,/TS/folklore%20(deluxe%20version)/2020/07/24/mad-woman/
mirrorball,/TS/folklore%20(deluxe%20version)/2020/07/24/mirrorball/
peace,/TS/folklore%20(deluxe%20version)/2020/07/24/peace/
the lakes,/TS/folklore%20(deluxe%20version)/2020/07/24/the-lakes/
the last great american dynasty,/TS/folklore%20(deluxe%20version)/2020/07/24/the-last-great-american-dynasty/
champagne problems,/TS/evermore%20(deluxe%20version)/2020/12/11/champagne-problems/
cowboy like me,/TS/evermore%20(deluxe%20version)/2020/12/11/cowboy-like-me/
willow,/TS/evermore%20(deluxe%20version)/2020/12/11/willow/
closure,/TS/evermore%20(deluxe%20version)/2020/12/11/closure/
coney island,/TS/evermore%20(deluxe%20version)/2020/12/11/coney-island/
dorothea,/TS/evermore%20(deluxe%20version)/2020/12/11/dorothea/
evermore,/TS/evermore%20(deluxe%20version)/2020/12/11/evermore/
gold rush,/TS/evermore%20(deluxe%20version)/2020/12/11/gold-rush/
happiness,/TS/evermore%20(deluxe%20version)/2020/12/11/happiness/
it’s time to go,/TS/evermore%20(deluxe%20version)/2020/12/11/it-s-time-to-go/
ivy,/TS/evermore%20(deluxe%20version)/2020/12/11/ivy/
long story short,/TS/evermore%20(deluxe%20version)/2020/12/11/l-ong-story-short/
marjorie,/TS/evermore%20(deluxe%20version)/2020/12/11/marjorie/
"no body, no crime","https://rjssue.github.io/TS/evermore%20(deluxe%20version)/2020/12/11/no-body,-no-crime/"
right where you left me,/TS/evermore%20(deluxe%20version)/2020/12/11/r-ight-where-you-left-me/
tolerate it,/TS/evermore%20(deluxe%20version)/2020/12/11/tolerate-it/
’tis the damn season,/TS/evermore%20(deluxe%20version)/2020/12/11/tis-the-damn-season/
